timestamp,key,wav_file,rms_level,peak_level,quality,mic_id,keyboard_id,session_id
20260125_195355_766473,i,i_20260125_195355_766473.wav,0.002024,0.032074,fair,dji,kumara,20260125_195354
20260125_195356_888376,y,y_20260125_195356_888376.wav,0.004561,0.084747,fair,dji,kumara,20260125_195354
20260125_195357_257130,n,n_20260125_195357_257130.wav,0.005171,0.104980,good,dji,kumara,20260125_195354
20260125_195357_493278,a,a_20260125_195357_493278.wav,0.005047,0.085876,good,dji,kumara,20260125_195354
20260125_195357_768700,m,m_20260125_195357_768700.wav,0.003327,0.036652,fair,dji,kumara,20260125_195354
20260125_195357_937016,e,e_20260125_195357_937016.wav,0.003408,0.074036,fair,dji,kumara,20260125_195354
20260125_195358_296816,i,i_20260125_195358_296816.wav,0.002584,0.036041,fair,dji,kumara,20260125_195354
20260125_195358_456238,s,s_20260125_195358_456238.wav,0.006036,0.114380,good,dji,kumara,20260125_195354
20260125_195358_758401,a,a_20260125_195358_758401.wav,0.004316,0.054199,fair,dji,kumara,20260125_195354
20260125_195359_042058,n,n_20260125_195359_042058.wav,0.003078,0.046661,fair,dji,kumara,20260125_195354
20260125_195359_286499,u,u_20260125_195359_286499.wav,0.004209,0.048004,fair,dji,kumara,20260125_195354
20260125_195359_512123,j,j_20260125_195359_512123.wav,0.008699,0.096405,good,dji,kumara,20260125_195354
